Codigo municipio;Municipio;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005
20079;Zarautz;140,84;59,47;55,11;48,36;48,45;48,69;48,96;49,00;49,31;49,49;49,75;50,12;50,04;42,72;28,03;22,24;13,95;10,41
48024;Zeanuri;230,46;195,37;182,48;179,43;143,08;144,00;143,88;144,81;143,88;137,66;135,20;129,77;129,08;131,07;45,11;41,92;40,57;80,56
48025;Zeberio;86,43;61,57;61,22;23,99;24,41;24,69;24,60;24,32;28,28;24,39;19,70;18,89;19,08;19,07;20,41;20,01;18,42;25,81
20025;Zegama;153,40;153,70;152,31;144,64;110,97;104,95;105,09;105,85;104,92;100,59;100,06;97,59;97,40;98,88;101,12;63,20;65,43;94,48
20026;Zerain;772,24;527,27;519,71;208,03;214,29;220,93;221,79;220,93;233,46;215,09;215,09;228,14;236,22;243,90;238,42;237,43;233,55;1,93
20027;Zestoa;376,00;307,84;154,19;140,99;127,58;127,15;127,84;130,75;131,90;133,46;133,53;133,99;134,69;139,20;20,20;3,15;3,16;8,64
48913;Zierbena;825,07;772,70;30,98;30,84;31,48;31,44;31,40;26,10;26,67;17,99;9,44;6,83;6,97;7,24;6,40;6,56;0,86;0,00
01018;Zigoitia;1.208,40;1.045,65;712,10;503,81;440,42;343,80;341,82;329,74;324,75;247,45;245,09;243,63;246,42;247,20;258,25;269,61;243,07;228,01
48915;Ziortza-Bolibar;774,82;761,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;250,57;0,00;0,00;0,00;12,21
20028;Zizurkil;149,12;136,99;129,87;89,62;89,80;90,73;90,91;85,86;84,92;85,69;85,54;87,23;90,19;91,21;41,06;19,60;19,67;19,40
01063;Zuia;1.141,72;1.045,55;669,51;575,36;434,25;366,54;367,31;366,39;360,40;355,63;354,90;352,23;265,63;268,71;269,75;186,10;116,87;172,27
20081;Zumaia;354,78;234,76;168,49;164,44;160,71;161,62;162,13;162,02;162,58;163,42;165,27;163,07;143,97;145,77;214,16;218,67;5,94;6,12
20080;Zumarraga;184,27;184,04;160,71;157,52;158,39;151,30;151,45;152,04;151,81;151,33;149,02;150,11;144,69;138,86;138,06;134,12;0,10;0,10
